课次,单元,日语词条,读音,词性,中文翻译
第1課,ユニット1,休暇,きゅうか①,名,休假；放假
第1課,ユニット1,地方,ちほう②①,名,（与首都、中央相对的）地方；地区
第1課,ユニット1,たいてい,①,副・名,基本上；大都；多半
第1課,ユニット1,飾りつけ,かざりつけ①,名,装饰；点缀
第1課,ユニット1,ふだん【普段】,①,名・副,平时；平常
第1課,ユニット1,おおみそか【大晦日】,③,名,除夕；大年三十
第1課,ユニット1,どうやって,①,如何；怎样
第1課,ユニット1,作り方,つくりかた①,名,做法；制作方法
第1課,ユニット1,家庭,かてい①,名,家庭
第1課,ユニット1,ニラ【韮】,①②,名,韭菜
第1課,ユニット1,細かい,こまかい③,形Ⅰ,细小；碎；详细
第1課,ユニット1,刻む,きざむ①,他Ⅰ,切碎；刻；印刻
第1課,ユニット1,豚,ぶた①,名,猪
第1課,ユニット1,ひき肉,ひきにく①,名,肉馅
第1課,ユニット1,具,ぐ①①,名,馅儿；菜码；工具
第1課,ユニット1,まぜる【混ぜる・交ぜる】,②,他Ⅱ,搅拌；和
第1課,ユニット1,包む,つつむ②,他Ⅰ,包；包装；包裹
第1課,ユニット1,ゆでる【茹でる】,②,他Ⅱ,煮；焯
第1課,ユニット1,水ギョーザ,すいギョーザ③,名,水饺
第1課,ユニット1,形,かたち①,名,外形；形状
第1課,ユニット1,昔,むかし①,名,过去；以前
第1課,ユニット1,似る,にる①,自Ⅱ,像；相似
第1課,ユニット1,縁起,えんぎ①,名,缘由；预兆；兆头
第1課,ユニット1,特別,とくべつ①,名・形Ⅱ,特别；格外
第1課,ユニット1,コイン,①,名,硬币
第1課,ユニット2,あいだ【間】,①,名,期间；之间
第1課,ユニット2,変わる,かわる①,自Ⅰ,变化；变换
第1課,ユニット2,晩,ばん①,名,晚上；傍晚
第1課,ユニット2,一家,いっか①,名,全家；一家；家
第1課,ユニット2,だんらん【団欒】,①,名・自Ⅲ,团圆；团聚
第1課,ユニット2,爆竹,ばくちく①,名,爆竹
第1課,ユニット2,花火,はなび①,名,焰火；烟花
第1課,ユニット2,切り紙,きりがみ①②,名,剪纸
第1課,ユニット2,ランタン,①,名,灯笼
第1課,ユニット2,街,まち②,名,街道；商业区
第1課,ユニット2,あふれる【溢れる】,③,自Ⅱ,溢出；充满
第1課,ユニット2,気分,きぶん①,名,心情
第1課,ユニット2,盛り上がる,もりあがる④,自Ⅰ,（气氛）高涨；鼓起
第1課,ユニット2,イルミネーション,④,名,夜景灯光；灯饰
第1課,ユニット2,ライブ配信,④,名,网络直播
第1課,ユニット2,ホンバオ,⑥,名,红包
第1課,ユニット3,年中行事,ねんちゅうぎょうじ⑤,名,节日；年内的各种活动
第1課,ユニット3,西暦,せいれき①,名,公历；阳历
第1課,ユニット3,新年,しんねん①,名,新年
第1課,ユニット3,仕事納め,しごとおさめ④,名,工作年终收官（仪式）
第1課,ユニット3,風景,ふうけい①,名,风景；情景
第1課,ユニット3,帰省ラッシュ,きせいラッシュ④,名,返乡潮
第1課,ユニット3,風物詩,ふうぶつし④③,名,风景诗；景物；风景线
第1課,ユニット3,大都市,だいとし③,名,大都市；大城市
第1課,ユニット3,都市,とし①,名,都市；城市
第1課,ユニット3,暮れ,くれ①,名,傍晚；末；年末
第1課,ユニット3,年始,ねんし①,名,年初
第1課,ユニット3,大掃除,おおそうじ③,名・他Ⅲ,大扫除
第1課,ユニット3,大-,おお-,接頭,大～
第1課,ユニット3,永い,ながい②,形Ⅰ,永久（的）；长久（的）
第1課,ユニット3,続く,つづく①,自Ⅰ,继续；持续；延续
第1課,ユニット3,長寿,ちょうじゅ①,名,长寿
第1課,ユニット3,願う,ねがう②,他Ⅰ,祝愿；希望；祈祷
第1課,ユニット3,細い,ほそい②,形Ⅰ,细（的）
第1課,ユニット3,そば【蕎麦】,①,名,荞麦；荞麦面条
第1課,ユニット3,年越し,としこし①④,名,过年；除夕
第1課,ユニット3,寺,てら②,名,寺；寺院
第1課,ユニット3,鐘,かね①,名,钟
第1課,ユニット3,除夜の鐘,じょやのかね①,名,除夕夜的钟声
第1課,ユニット3,行く年,ゆくとし④,名,即将过去的一年
第1課,ユニット3,惜しむ,おしむ②,他Ⅰ,珍惜；惋惜；可惜
第1課,ユニット3,来る年,くるとし①,名,即将到来的一年
第1課,ユニット3,迎える,むかえる①,他Ⅱ,迎接；欢迎
第1課,ユニット3,神社,じんじゃ①,名,神社
第1課,ユニット3,初詣,はつもうで③,名,新年的首次参拜
第1課,ユニット3,初-,はつ-,接頭,首次；最初
第1課,ユニット3,お雑煮,おぞうに①,名,煮年糕
第1課,ユニット3,子孫,しそん①,名,子孙
第1課,ユニット3,繁栄,はんえい①,名・自Ⅲ,繁荣
第1課,ユニット3,数の子,かずのこ①,名,鲱鱼子
第1課,ユニット3,黒豆,くろまめ①,名,黑豆
第1課,ユニット3,まめ,①,形Ⅱ,健康；结实
第1課,ユニット3,昆布,こんぶ①,名,海带
第1課,ユニット3,鯛,たい①,名,鲷；加吉鱼
第1課,ユニット3,めでたい,③,形Ⅰ,可喜可贺（的）；值得庆贺（的）
第1課,ユニット3,言葉遊び,ことばあそび④,名,文字游戏；语言游戏
第1課,ユニット3,三が日,さんがにち③⑥,名,新年头三天
第1課,ユニット3,仕事始め,しごとはじめ④,名,新的一年开始工作（的仪式）
第1課,ユニット3,職場,しょくば⓪,名,职场
第1課,ユニット3,挨拶,あいさつ①,名・自Ⅲ,寒暄；打招呼
第1課,ユニット3,こうして,⓪,副,这样；如此；于是
第2課,ユニット1,首都体育馆,しゅとたいいくかん⑥,固名,首都体育馆；首体
第2課,ユニット1,首都,しゅと①,名,首都
第2課,ユニット1,入り口,いりぐち⓪,名,入口
第2課,ユニット1,待ち合わせる,まちあわせる⑤①,自Ⅱ,碰头；见面
第2課,ユニット1,国家図書館,こっかとしょかん⑤,固名,国家图书馆
第2課,ユニット1,国家,こっか①,名,国家
第2課,ユニット1,過ぎる,すぎる②,自Ⅱ,过；经过
第2課,ユニット1,左,ひだり①,名,左；左边
第2課,ユニット1,コート,①,名,外套；外衣；风衣
第2課,ユニット1,着る,きる⓪,他Ⅱ,穿（上衣或全身的衣服）
第2課,ユニット1,念のため,ねんのため⓪⑤,保险起见；以防万一
第2課,ユニット1,救急車,きゅうきゅうしゃ③,名,救护车；急救车
第2課,ユニット1,救急,きゅうきゅう①,名,救护
第2課,ユニット1,-車,-しゃ,接尾,车
第2課,ユニット1,呼ぶ,よぶ①,他Ⅰ,叫（来）；呼喊；叫做
第2課,ユニット1,バッテリー,①,名,蓄电池
第2課,ユニット1,切れる,きれる②,自Ⅱ,用尽（没了）；断；断开；断绝
第2課,ユニット1,急,きゅう①,形Ⅱ,突然；急
第2課,ユニット1,飛び出す,とびだす③,自Ⅰ,跑出；跳出；突然出现；弹出
第2課,ユニット1,急ぐ,いそぐ②,自Ⅰ,加快；抓紧时间；赶紧
第2課,ユニット1,間に合う,まにあう③,自Ⅰ,来得及；赶得上
第2課,ユニット1,申し訳ありません,もうしわけありません⑨,对不起；非常抱歉
第2課,ユニット2,遅刻,ちこく①,名・自Ⅲ,迟到
第2課,ユニット2,すぐ,①,副,马上；即将
第2課,ユニット2,はず,①,名,应该；会
第2課,ユニット2,事故,じこ①,名,事故
第2課,ユニット2,あう【遭う】,①,自Ⅰ,遭遇
第2課,ユニット2,いったい【一体】,①,副,究竟；到底
第2課,ユニット2,途中,とちゅう①,名,中途；半路上；事物进行中
第2課,ユニット2,黙る,だまる②,自Ⅰ,沉默；不说话
第2課,ユニット2,え,①,感,表示不知该如何回答
第2課,ユニット3,ポップカルチャー,④,名,大众文化；流行文化
第2課,ユニット3,カルチャー,①,名,文化
第2課,ユニット3,大衆,たいしゅう⓪,名,大众；群众
第2課,ユニット3,エンターテインメント,⑤,名,娱乐
第2課,ユニット3,指す,さす①,他Ⅰ,指；指向；指定
第2課,ユニット3,国境,こっきょう⓪,名,国界；国境；边境
第2課,ユニット3,越える,こえる⓪,他Ⅱ,越过；超出
第2課,ユニット3,一衣帯水,いちいたいすい①-⓪,名,一衣带水
第2課,ユニット3,隣国,りんごく⓪,名,邻国
第2課,ユニット3,古く,ふるく①,名,以前
第2課,ユニット3,親近感,しんきんかん③,名,亲切感
第2課,ユニット3,インターネット,⑤,名,互联网；因特网
第2課,ユニット3,海外,かいがい①,名,海外；国外；外国
第2課,ユニット3,いっそう【一層】,⓪①,名・副,更加；愈发；一层
第2課,ユニット3,盛ん,さかん⓪,形Ⅱ,旺盛；繁荣；积极
第2課,ユニット3,活躍,かつやく⓪,名・自Ⅲ,活跃；活动
第2課,ユニット3,登場,とうじょう⓪,名・自Ⅲ,登场；出现
第2課,ユニット3,増える,ふえる②,自Ⅱ,增加；增多
第2課,ユニット3,上映,じょうえい⓪,名・他Ⅲ,上映；公映
第2課,ユニット3,注目,ちゅうもく⓪,名・自Ⅲ,关注；注目；注视
第2課,ユニット3,肯定,こうてい⓪,名・他Ⅲ,肯定
第2課,ユニット3,否定,ひてい⓪,名・他Ⅲ,否定
第2課,ユニット3,自国,じこく⓪①,名,本国
第2課,ユニット3,消える,きえる⓪,自Ⅱ,消失；（火、热情等）熄灭
第2課,ユニット3,親しみ,したしみ⓪④,名,亲切；亲近感；亲密感
第2課,ユニット3,つまり,①,接,即；换言之；就是说
第2課,ユニット3,役立てる,やくだてる④,他Ⅱ,有用；起作用
第2課,ユニット3,排除,はいじょ①,名・他Ⅲ,排除；驱除
第2課,ユニット3,ますます,②,名・副,愈发；越来越
第2課,ユニット3,活発,かっぱつ①,名・自Ⅲ,（活动、现象等）频繁；活跃
第2課,ユニット3,人類,じんるい①,名,人类
第2課,ユニット3,共通,きょうつう①,名・形Ⅱ・自Ⅲ,共通
第2課,ユニット3,財産,ざいさん①①,名,财产
第2課,ユニット3,どのよう,①,形Ⅱ,怎样的；什么样的
第2課,ユニット3,アピール,②,名・自他Ⅲ,宣传介绍；呼吁
第2課,ユニット3,受け止める,うけとめる④①,他Ⅱ,接住；接受
第2課,ユニット3,真剣,しんけん①,形Ⅱ,认真
第3課,ユニット1,診察,しんさつ①,名・他Ⅲ,诊断；检查；看病
第3課,ユニット1,体,からだ①,名,身体
第3課,ユニット1,調子,ちょうし①,名,（身体）状况；状态
第3課,ユニット1,次,つぎ②,名,下一个；接下来；然后
第3課,ユニット1,熱,ねつ②,名,热；发烧
第3課,ユニット1,下がる,さがる②,自Ⅰ,下降；垂下
第3課,ユニット1,それに,①,接,而且；还有
第3課,ユニット1,のど【咽喉】,①,名,喉咙；嗓子
第3課,ユニット1,はい,①,感,表示引起对方的注意
第3課,ユニット1,ずいぶん,①,副,很；非常；相当
第3課,ユニット1,はれる【腫れる】,①,自Ⅱ,肿；肿胀
第3課,ユニット1,最近,さいきん①,名,最近（指过去的一段时间）
第3課,ユニット1,食欲,しょくよく②①,名,食欲
第3課,ユニット1,息抜き,いきぬき③④①,名・自Ⅲ,放松；喘口气儿；休息
第3課,ユニット1,体温計,たいおんけい①③,名,体温计；体温表
第3課,ユニット1,体温,たいおん①①,名,体温
第3課,ユニット1,-計,-けい,接尾,~计；~表
第3課,ユニット1,-度,-ど,接尾,度；度数
第3課,ユニット1,-分,-ぶ,接尾,分；厘
第3課,ユニット1,かなり,①,副・形Ⅱ,相当；很
第3課,ユニット1,つらい,①,形Ⅰ,难受；不舒服；痛苦
第3課,ユニット1,-分,-ぶん,接尾,量；份量
第3課,ユニット1,朝晩,あさばん①,名,早晚；早上和晚上
第3課,ユニット1,-錠,-じょう,接尾,粒；片
第3課,ユニット1,食前,しょくぜん①,名,饭前
第3課,ユニット2,お見舞い,おみまい①,名,看望；探视（礼貌说法）
第3課,ユニット2,ただいま,①②,我回来啦
第3課,ユニット2,頼む,たのむ②,他Ⅰ,请求；拜托
第3課,ユニット2,ラッキー,①,名・形Ⅱ,幸运
第3課,ユニット2,おかげ,①,名,承蒙；多亏
第3課,ユニット2,具合,ぐあい①,名,身体状况；情况；状况
第3課,ユニット2,だいぶ【大分】,①,副,大概
第3課,ユニット2,安心,あんしん①,名・自Ⅲ,放心；安心
第3課,ユニット2,おかゆ【お粥】,①,名,粥；稀饭
第3課,ユニット2,よかったら,①,如果可以的话；如果你不介意的话
第3課,ユニット2,冷める,さめる②,自Ⅱ,变冷；降低；减退
第3課,ユニット2,そうだ,①,对啦！（我想起来了）
第3課,ユニット2,このあいだ【この間】,①,名,前不久；最近
第3課,ユニット2,もう,①,副,（表示事情发生得比预想得要早）这就要……
第3課,ユニット3,今まで,いままで③,名・副,迄今为止；过去
第3課,ユニット3,だるい,②,形Ⅰ,乏力；酸痛
第3課,ユニット3,このまま,④①,名・副,照这种状态；照这种情形
第3課,ユニット3,効く,きく①,自Ⅰ,有效果；管用；灵
第3課,ユニット3,推薦,すいせん①,名・他Ⅲ,推荐
第3課,ユニット3,-状,-じょう,接尾,~书；~信
第3課,ユニット3,桜,さくら①,名,樱；樱花
第3課,ユニット3,助ける,たすける③,他Ⅱ,帮助；救助
第4課,ユニット1,環境,かんきょう①,名,环境
